PFMF.050.1,163.78,45.40,0.00,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
Q1,135.74,49.11,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,87.62,30.46,270.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,77.27,17.19,90.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
R1,29.20,45.91,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1-PINH,167.50,5.50,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1-PINH1,96.60,50.27,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,19.83,99.33,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,125.48,51.76,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,119.78,43.61,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,80.55,16.04,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,166.22,5.49,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,101.61,62.99,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,167.80,54.80,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,160.99,52.80,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,127.93,48.98,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,81.56,18.76,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,79.99,18.76,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,39.95,52.13,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,50.84,34.58,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,53.79,34.58,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,55.75,34.58,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,82.68,31.00,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,59.00,108.65,180.00,BUTTON_CUSYOMV1,MYBUTTON
RX,23.36,69.54,0.00,TPTP20R,TP20R
R_BOOT,70.56,108.00,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,97.36,64.09,180.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,37.80,108.00,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,84.45,31.00,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,62.55,108.00,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SCK,11.98,40.59,0.00,TPTP20R,TP20R
SENSOR2,167.07,10.00,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,75.22,12.12,180.00,,SJ
TX,21.02,69.54,0.00,TPTP20R,TP20R
U1,45.12,57.55,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,26.09,57.34,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,94.00,57.34,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,138.84,52.82,0.00,MAX17048G+T10,SON50P200X200X80-9N
VBAT,143.41,55.69,0.00,TPTP20R,TP20R
VBUS,163.60,64.02,0.00,TPTP20R,TP20R
